CodigoRecinto,CodigoActa,NroMesa,VotantesHabilitados
1010200001,1010200001001,1,877
1010200001,1010200001002,2,949
1010200001,1010200001003,3,987
1010200001,1010200001004,4,119
1010200001,1010200001005,5,924
1010200001,1010200001006,6,54
1010200001,1010200001007,7,972
1010200001,1010200001008,8,186
1010200001,1010200001009,9,828
1010300010,1010300010001,1,911
1010300011,1010300011001,1,678
1010300011,1010300011002,2,930
1010300011,1010300011003,3,279
1010300011,1010300011004,4,429
1010300011,1010300011005,5,187
1010300011,1010300011006,6,212
1010300011,1010300011007,7,727
1010300011,1010300011008,8,588
1010300011,1010300011009,9,237
1010300011,1010300011010,10,23
1010300011,1010300011011,11,693
1010300011,1010300011012,12,952
1010300011,1010300011013,13,404
1010300011,1010300011014,14,10
1010300011,1010300011015,15,202
1010300011,1010300011016,16,413
1010300027,1010300027001,1,144
1010300027,1010300027002,2,162
1010300027,1010300027003,3,805
1010300027,1010300027004,4,940
1010300027,1010300027005,5,60
1010300027,1010300027006,6,588
1010300027,1010300027007,7,569
1010300027,1010300027008,8,460
1010300027,1010300027009,9,806
1010300027,1010300027010,10,479
1010300027,1010300027011,11,409
1010300027,1010300027012,12,252
1010300027,1010300027013,13,593
1010300027,1010300027014,14,776
1020100041,1020100041001,1,762
1020100041,1020100041002,2,987
1020100041,1020100041003,3,677
1020100041,1020100041004,4,34
1020100045,1020100045001,1,423
1020100045,1020100045002,2,7
1020100045,1020100045003,3,121
1020100045,1020100045004,4,262
1020100045,1020100045005,5,356
1020100045,1020100045006,6,190
1020100045,1020100045007,7,684
1020100045,1020100045008,8,722
1020100045,1020100045009,9,382
1020100045,1020100045010,10,933
1020100045,1020100045011,11,70
1020100045,1020100045012,12,368
1020100045,1020100045013,13,338
1020100045,1020100045014,14,760
1020100045,1020100045015,15,62
1020100045,1020100045016,16,214
1020100045,1020100045017,17,79
1020100062,1020100062001,1,92
1020100062,1020100062002,2,893
1020100062,1020100062003,3,539
1020100062,1020100062004,4,131
1020100062,1020100062005,5,528
1030100067,1030100067001,1,587
1030100067,1030100067002,2,927
1030100067,1030100067003,3,144
1030100067,1030100067004,4,778
1030100067,1030100067005,5,880
1030100067,1030100067006,6,341
1030100067,1030100067007,7,606
1030100067,1030100067008,8,601
1030100067,1030100067009,9,405
1030100067,1030100067010,10,176
1030100067,1030100067011,11,959
1030100067,1030100067012,12,440
1030100067,1030100067013,13,621
1030100067,1030100067014,14,583
1030200081,1030200081001,1,781
1030200081,1030200081002,2,757
1030200081,1030200081003,3,347
1030200081,1030200081004,4,459
1030200081,1030200081005,5,468
1030200081,1030200081006,6,80
1030200087,1030200087001,1,45
1030200087,1030200087002,2,236
1030200087,1030200087003,3,788
1030200087,1030200087004,4,501
1030200087,1030200087005,5,257
1030200087,1030200087006,6,734
1030200087,1030200087007,7,276
1030200087,1030200087008,8,235
1030200087,1030200087009,9,752
1030200087,1030200087010,10,37
1030300097,1030300097001,1,10
1030300097,1030300097002,2,702
1030300097,1030300097003,3,582
1030300097,1030300097004,4,745
1030300097,1030300097005,5,706
1030300097,1030300097006,6,553
1030300097,1030300097007,7,248
1030300097,1030300097008,8,421
1030300097,1030300097009,9,153
1030300097,1030300097010,10,674
1030300097,1030300097011,11,233
1030300097,1030300097012,12,257
1030300097,1030300097013,13,223
1030300097,1030300097014,14,721
1030300097,1030300097015,15,457
1030300097,1030300097016,16,859
1030300097,1030300097017,17,331
1030300097,1030300097018,18,366
1030400115,1030400115001,1,718
1030400115,1030400115002,2,266
1030400115,1030400115003,3,323
1030400115,1030400115004,4,893
1030400115,1030400115005,5,699
1030400115,1030400115006,6,992
1030400121,1030400121001,1,364
1030400121,1030400121002,2,745
1030400121,1030400121003,3,912
1030400121,1030400121004,4,847
1040100125,1040100125001,1,542
1040100125,1040100125002,2,97
1040100125,1040100125003,3,13
1040100125,1040100125004,4,645
1040100125,1040100125005,5,126
1040100125,1040100125006,6,733
1040100125,1040100125007,7,48
1040100132,1040100132001,1,717
1040100132,1040100132002,2,195
1040100132,1040100132003,3,714
1040100132,1040100132004,4,482
1040100132,1040100132005,5,705
1040100132,1040100132006,6,722
1040100132,1040100132007,7,945
1040100132,1040100132008,8,532
1040100132,1040100132009,9,774
1040100132,1040100132010,10,141
1040100132,1040100132011,11,520
1040100143,1040100143001,1,621
1040100143,1040100143002,2,92
1040100143,1040100143003,3,257
1040100143,1040100143004,4,126
1040100143,1040100143005,5,158
1040100143,1040100143006,6,173
1040100143,1040100143007,7,279
1040200150,1040200150001,1,133
1040200150,1040200150002,2,215
1040200150,1040200150003,3,630
1040200150,1040200150004,4,195
1040200150,1040200150005,5,917
1040200150,1040200150006,6,648
1040200150,1040200150007,7,608
1040200150,1040200150008,8,845
1040200150,1040200150009,9,353
1040200150,1040200150010,10,11
1040200150,1040200150011,11,377
1040200161,1040200161001,1,712
1040200161,1040200161002,2,642
1040200161,1040200161003,3,444
1040200161,1040200161004,4,787
1040200161,1040200161005,5,382
1040200161,1040200161006,6,110
1040200161,1040200161007,7,619
1040200161,1040200161008,8,570
1040200161,1040200161009,9,119
1040200161,1040200161010,10,583
1040200161,1040200161011,11,324
1040200161,1040200161012,12,923
1040200161,1040200161013,13,493
1040200161,1040200161014,14,91
1040200161,1040200161015,15,261
1040200161,1040200161016,16,792
1040200161,1040200161017,17,179
1040300178,1040300178001,1,39
1040300178,1040300178002,2,854
1040300178,1040300178003,3,244
1040300181,1040300181001,1,62
1040300181,1040300181002,2,748
1040300181,1040300181003,3,708
1040300181,1040300181004,4,273
1040300181,1040300181005,5,400
1040400186,1040400186001,1,837
1040400186,1040400186002,2,989
1040400186,1040400186003,3,982
1040400189,1040400189001,1,314
1040400189,1040400189002,2,573
1040400189,1040400189003,3,636
1040400189,1040400189004,4,324
1040400189,1040400189005,5,6
1040400189,1040400189006,6,427
1040400189,1040400189007,7,557
1040400189,1040400189008,8,858
1040400197,1040400197001,1,369
1040400197,1040400197002,2,757
1040400197,1040400197003,3,522
1040400197,1040400197004,4,220
1040400197,1040400197005,5,784
1040400197,1040400197006,6,876
1040400197,1040400197007,7,681
1040400197,1040400197008,8,569
1040400197,1040400197009,9,510
1040500206,1040500206001,1,35
1040500206,1040500206002,2,661
1040500206,1040500206003,3,287
1040500206,1040500206004,4,970
1040500206,1040500206005,5,570
1040500206,1040500206006,6,138
1040500206,1040500206007,7,310
1040500206,1040500206008,8,652
1040500206,1040500206009,9,466
1040500206,1040500206010,10,28
1040500206,1040500206011,11,618
1040500206,1040500206012,12,31
1060100218,1060100218001,1,847
1060100218,1060100218002,2,365
1060100218,1060100218003,3,721
1060100221,1060100221001,1,564
1060100221,1060100221002,2,140
1060100221,1060100221003,3,253
1060100221,1060100221004,4,466
1060100221,1060100221005,5,197
1060100221,1060100221006,6,873
1060100221,1060100221007,7,364
1060100221,1060100221008,8,260
1060100221,1060100221009,9,69
1060100221,1060100221010,10,326
1060100231,1060100231001,1,413
1060100231,1060100231002,2,805
1060100231,1060100231003,3,839
1060100231,1060100231004,4,562
1060100231,1060100231005,5,103
1060100231,1060100231006,6,736
1060100231,1060100231007,7,984
1060100231,1060100231008,8,435
1060100231,1060100231009,9,700
1060100231,1060100231010,10,410
1060100231,1060100231011,11,313
1060200242,1060200242001,1,339
1060200242,1060200242002,2,942
1060200242,1060200242003,3,752
1060200242,1060200242004,4,420
1060200242,1060200242005,5,305
1060200242,1060200242006,6,636
1060200242,1060200242007,7,366
1060200242,1060200242008,8,334
1060200242,1060200242009,9,289
1060200242,1060200242010,10,93
1060200242,1060200242011,11,751
1060200242,1060200242012,12,327
1060200242,1060200242013,13,635
1060200242,1060200242014,14,754
1060200242,1060200242015,15,635
1060200242,1060200242016,16,218
1060200242,1060200242017,17,71
1060200242,1060200242018,18,481
1060200242,1060200242019,19,427
1060200261,1060200261001,1,759
1060200261,1060200261002,2,918
1060200261,1060200261003,3,184
1060200261,1060200261004,4,764
1060200261,1060200261005,5,641
1060200261,1060200261006,6,890
1060200261,1060200261007,7,487
1060200261,1060200261008,8,596
1060200261,1060200261009,9,758
1070100270,1070100270001,1,648
1070100270,1070100270002,2,909
1070200272,1070200272001,1,413
1070200272,1070200272002,2,623
1070200274,1070200274001,1,668
1070200274,1070200274002,2,435
1070200274,1070200274003,3,258
1070200274,1070200274004,4,527
1070200274,1070200274005,5,258
1070200274,1070200274006,6,242
1070200274,1070200274007,7,143
1070200274,1070200274008,8,170
1070200274,1070200274009,9,868
1070200274,1070200274010,10,539
1070200274,1070200274011,11,878
1070200285,1070200285001,1,199
1070200285,1070200285002,2,945
1070200285,1070200285003,3,770
1070200285,1070200285004,4,430
1070200285,1070200285005,5,478
1070200285,1070200285006,6,192
1070200285,1070200285007,7,7
1070200285,1070200285008,8,472
1070200285,1070200285009,9,976
1070200285,1070200285010,10,237
1070300295,1070300295001,1,186
1070300295,1070300295002,2,942
1070300295,1070300295003,3,831
1070300295,1070300295004,4,686
1070300295,1070300295005,5,105
1070300300,1070300300001,1,292
1070300300,1070300300002,2,438
1070300300,1070300300003,3,679
1070300300,1070300300004,4,674
1070300300,1070300300005,5,693
1070300300,1070300300006,6,454
1070300300,1070300300007,7,982
1070300300,1070300300008,8,64
1070300300,1070300300009,9,129
1070300300,1070300300010,10,898
1070300300,1070300300011,11,289
1070300300,1070300300012,12,720
1070300300,1070300300013,13,591
1070300300,1070300300014,14,27
1070300300,1070300300015,15,845
1070300300,1070300300016,16,497
1070300300,1070300300017,17,400
1070300300,1070300300018,18,646
1070300318,1070300318001,1,71
1070300318,1070300318002,2,993
1070300318,1070300318003,3,17
1070300318,1070300318004,4,193
1070300318,1070300318005,5,985
1070300318,1070300318006,6,531
1070300318,1070300318007,7,113
1070300318,1070300318008,8,673
1070400326,1070400326001,1,640
1070400326,1070400326002,2,370
1070400326,1070400326003,3,978
1070400326,1070400326004,4,26
1070400326,1070400326005,5,860
1070400326,1070400326006,6,626
1070400326,1070400326007,7,194
1070400326,1070400326008,8,393
1070400326,1070400326009,9,244
1070400326,1070400326010,10,411
1070400326,1070400326011,11,300
1070400326,1070400326012,12,918
1070400326,1070400326013,13,666
1070400326,1070400326014,14,739
1070400326,1070400326015,15,960
1070400326,1070400326016,16,847
1070400342,1070400342001,1,654
1070400342,1070400342002,2,612
1070400342,1070400342003,3,4
1070400342,1070400342004,4,972
1070400342,1070400342005,5,721
1070400342,1070400342006,6,922
1070400342,1070400342007,7,416
1090100349,1090100349001,1,461
1090100349,1090100349002,2,758
1090100349,1090100349003,3,522
1090100349,1090100349004,4,278
1090100349,1090100349005,5,304
1090100349,1090100349006,6,33
1090100349,1090100349007,7,903
1090100349,1090100349008,8,353
1090100349,1090100349009,9,558
1090100349,1090100349010,10,315
1090100349,1090100349011,11,573
1090100349,1090100349012,12,338
1090100349,1090100349013,13,249
1090100349,1090100349014,14,458
1090100363,1090100363001,1,406
1090100363,1090100363002,2,87
1090200365,1090200365001,1,702
1090200365,1090200365002,2,748
1090200365,1090200365003,3,805
1090200365,1090200365004,4,492
1090200365,1090200365005,5,286
