CodigoTerritorial,Departamento,Municipio,Provincia
10101,Chuquisaca,Oropeza,Sucre
10102,Chuquisaca,Oropeza,Yotala
10103,Chuquisaca,Oropeza,Poroma
10201,Chuquisaca,Azurduy,Azurduy
10202,Chuquisaca,Azurduy,Tarvita
10301,Chuquisaca,Zudáñez,Villa Zudáñez
10302,Chuquisaca,Zudáñez,Presto
10303,Chuquisaca,Zudáñez,Villa Mojocoya
10304,Chuquisaca,Zudáñez,Icla
10401,Chuquisaca,Tomina,Padilla
10402,Chuquisaca,Tomina,Tomina
10403,Chuquisaca,Tomina,Sopachuy
10404,Chuquisaca,Tomina,Villa Alcalá
10405,Chuquisaca,Tomina,El Villar
10501,Chuquisaca,Hernando Siles,Monteagudo
10502,Chuquisaca,Hernando Siles,Huacareta
10601,Chuquisaca,Yamparáez,Tarabuco
10602,Chuquisaca,Yamparáez,Yamparáez
10701,Chuquisaca,Nor Cinti,Camargo
10702,Chuquisaca,Nor Cinti,San Lucas
10703,Chuquisaca,Nor Cinti,Incahuasi
10704,Chuquisaca,Nor Cinti,Villa Charcas
10801,Chuquisaca,Belisario Boeto,Villa Serrano
10901,Chuquisaca,Sud Cinti,Villa Abecia
10902,Chuquisaca,Sud Cinti,Culpina
10903,Chuquisaca,Sud Cinti,Las Carreras
11001,Chuquisaca,Luis Calvo,Villa Vaca Guzmán (Muyupampa)
11002,Chuquisaca,Luis Calvo,Huacaya
11003,Chuquisaca,Luis Calvo,Macharetí
20101,La Paz,Murillo,La Paz
20102,La Paz,Murillo,Palca
20103,La Paz,Murillo,Mecapaca
20104,La Paz,Murillo,Achocalla
20105,La Paz,Murillo,El Alto
20201,La Paz,Omasuyos,Achacachi
20202,La Paz,Omasuyos,Ancoraimes
20203,La Paz,Omasuyos,Chua Cocani
20204,La Paz,Omasuyos,Huarina
20205,La Paz,Omasuyos,Santiago de Huata
20206,La Paz,Omasuyos,Huatajata
20301,La Paz,Pacajes,Coro Coro
20302,La Paz,Pacajes,Caquiaviri
20303,La Paz,Pacajes,Calacoto
20304,La Paz,Pacajes,Comanche
20305,La Paz,Pacajes,Charaña
20306,La Paz,Pacajes,Waldo Ballivián
20307,La Paz,Pacajes,Nazacara de Pacajes
20308,La Paz,Pacajes,Callapa
20401,La Paz,Camacho,Puerto Acosta
20402,La Paz,Camacho,Mocomoco
20403,La Paz,Camacho,Puerto Carabuco
20404,La Paz,Camacho,Humanata
20405,La Paz,Camacho,Escoma
20501,La Paz,Muñecas,Chuma
20502,La Paz,Muñecas,Ayata
20503,La Paz,Muñecas,Aucapata
20601,La Paz,Larecaja,Sorata
20602,La Paz,Larecaja,Guanay
20603,La Paz,Larecaja,Tacacoma
20604,La Paz,Larecaja,Quiabaya
20605,La Paz,Larecaja,Combaya
20606,La Paz,Larecaja,Tipuani
20607,La Paz,Larecaja,Mapiri
20608,La Paz,Larecaja,Teoponte
20701,La Paz,Franz Tamayo,Apolo
20702,La Paz,Franz Tamayo,Pelechuco
20801,La Paz,Ingavi,Viacha
20802,La Paz,Ingavi,Guaqui
20803,La Paz,Ingavi,Tiahuanaco
20804,La Paz,Ingavi,Desaguadero
20805,La Paz,Ingavi,San Andrés de Machaca
20806,La Paz,Ingavi,Jesús de Machaca
20807,La Paz,Ingavi,Taraco
20901,La Paz,Loayza,Luribay
20902,La Paz,Loayza,Sapahaqui
20903,La Paz,Loayza,Yaco
20904,La Paz,Loayza,Malla
20905,La Paz,Loayza,Cairoma
21001,La Paz,Inquisivi,Inquisivi
21002,La Paz,Inquisivi,Quime
21003,La Paz,Inquisivi,Cajuata
21004,La Paz,Inquisivi,Colquiri
21005,La Paz,Inquisivi,Ichoca
21006,La Paz,Inquisivi,Licoma Pampa
21101,La Paz,Sud Yungas,Chulumani
21102,La Paz,Sud Yungas,Irupana
21103,La Paz,Sud Yungas,Yanacachi
21104,La Paz,Sud Yungas,Palos Blancos
21105,La Paz,Sud Yungas,La Asunta
21201,La Paz,Los Andes,Pucarani
21202,La Paz,Los Andes,Laja
21203,La Paz,Los Andes,Batallas
21204,La Paz,Los Andes,Puerto Pérez
21301,La Paz,Aroma,Sica Sica
21302,La Paz,Aroma,Umala
21303,La Paz,Aroma,Ayo Ayo
21304,La Paz,Aroma,Calamarca
21305,La Paz,Aroma,Patacamaya
21306,La Paz,Aroma,Colquencha
21307,La Paz,Aroma,Collana
21401,La Paz,Nor Yungas,Coroico
21402,La Paz,Nor Yungas,Coripata
21501,La Paz,Iturralde,Ixiamas
21502,La Paz,Iturralde,San Buenaventura
21601,La Paz,Bautista Saavedra,Charazani
21602,La Paz,Bautista Saavedra,Curva
21701,La Paz,Manco Kapac,Copacabana
21702,La Paz,Manco Kapac,San Pedro de Tiquina
21703,La Paz,Manco Kapac,Tito Yupanqui
21801,La Paz,Gualberto Villarroel,San Pedro de Curahuara
21802,La Paz,Gualberto Villarroel,Papel Pampa
21803,La Paz,Gualberto Villarroel,Chacarilla
