CodigoTerritorial,Departamento,Provincia,Municipio,CodigoRecinto,RecintoNombre,RecintoDireccion,NumMesas,CodigoActa,NroMesa,VotantesHabilitados,PapeletasAnfora,PapeltasNoUtilizadas,P1,P2,P3,P4,VotosValidos,VotosBlancos,VotosNulos,Observaciones,,AperturaHora,AperturaMinutos,CierreHora,CierreMinutos
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001001,1,877,788,89,140,39,124,345,648,76,64,,1060200261001 - 1070200285010 0 x O,8,1,16,4
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001002,2,949,809,140,28,158,155,347,688,71,50,,1090100349001 - 1090100349014 1 x l y 8 x B,8,1,16,3
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001003,3,987,857,130,183,32,52,481,748,12,97,,,8,1,16,1
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001004,4,119,118,1,9,31,24,38,102,15,1,,1090300396001 - 1090300396005 Mesas que no existen,8,1,16,37
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001005,5,924,870,54,250,1,111,410,772,28,70,Falta de datos de apertura o cierre: Omisión de la hora exacta de inicio o finalización de la jornada electoral en el acta.,,8,3,16,55
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001006,6,54,45,9,0,9,2,26,37,4,4,,2010400444001 - 2010400444005 666,8,2,16,35
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001007,7,972,865,107,84,91,13,522,710,86,69,,2010400444001 - 2010400444005,8,2,16,56
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001008,8,186,184,2,26,13,32,88,159,11,14,,2010400465016 cambio nulos por blancos,8,0,16,37
10102,Chuquisaca,Oropeza,Yotala,1010200001,U.E. Padresama,Se encuentra sobre la carretera cochabamba a Santa Cruz km 150,9,1010200001009,9,828,758,70,113,85,34,412,644,37,77,,2020300522001 cudriplicados,8,2,16,47
10103,Chuquisaca,Oropeza,Poroma,1010300010,U.E. Guillermo Urquidi,Av. Humboldt entre Av. Victor Ustariz y Av. Blanco Galindo,1,1010300010001,1,911,823,88,26,84,88,460,658,117,48,,,8,1,16,40
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011001,1,678,536,142,84,65,112,201,462,49,25,,2020600556002-3 Univalle,8,4,16,42
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011002,2,930,900,30,48,247,138,306,739,121,40,,,8,2,16,37
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011003,3,279,276,3,13,39,14,153,219,42,15,,,8,1,16,30
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011004,4,429,344,85,47,99,8,133,287,47,10,,,8,4,16,23
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011005,5,187,182,5,22,3,4,109,138,27,17,,1100100401002 - 2010400444005 1 x | 8 x B 0 x O,8,4,16,37
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011006,6,212,210,2,47,28,30,86,191,12,7,,,8,1,16,22
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011007,7,727,592,135,116,168,65,155,504,73,15,,2020200497001  x  2020200497008 Nullos por blancos,8,3,16,1
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011008,8,588,542,46,11,87,89,300,487,49,6,,,8,2,16,10
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011009,9,237,190,47,49,19,27,62,157,31,2,,,8,4,16,19
10103,Chuquisaca,Oropeza,Poroma,1010300011,Escuela Gualberto Villarroel,Arani,16,1010300011010,10,23,22,1,3,2,4,12,21,0,1,,2020200505001 - 2020200505004 x 2020699999991 - 2020699999994,8,2,16,10
